MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
10,2012,South,SOUTH LAHONTAN,8,402.5,272.3,298.1,235,86,58
11,2012,North,NORTH COAST,6,3096.3,1892.7,2308.6,2120.6,112,68
11,2012,North,SAN FRANCISCO BAY,17,688,399.8,455.8,419.5,105,61
11,2012,Central,CENTRAL COAST,6,970.3,516.5,724.9,474.2,92,49
11,2012,South,SOUTH COAST,29,1973.8,1279.6,1410.5,1207.7,94,61
11,2012,North,SACRAMENTO,43,16001.7,9478.3,11307.4,9343.8,99,58
11,2012,Central,SAN JOAQUIN,34,11440.4,6276.1,8419.6,5915.7,94,52
11,2012,South,TULARE LAKE,6,2087.4,647.8,897.1,398.7,62,19
11,2012,North,NORTH LAHONTAN,5,1072,459.2,754.4,496.3,108,46
11,2012,South,SOUTH LAHONTAN,8,402.5,267.3,296.1,241.2,90,60
12,2012,North,NORTH COAST,6,3096.3,1993.4,2248.5,2338.4,117,76
12,2012,North,SAN FRANCISCO BAY,17,688,423.8,430.5,484.4,114,70
12,2012,Central,CENTRAL COAST,6,970.3,535,717.2,534.5,100,55
12,2012,South,SOUTH COAST,29,1973.8,1308.1,1402.5,1231.1,94,62
12,2012,North,SACRAMENTO,43,16001.7,9826.4,10779.1,11708.7,119,73
12,2012,Central,SAN JOAQUIN,34,11440.4,6501.3,8487.7,6701.1,103,59
12,2012,South,TULARE LAKE,6,2087.4,684.9,885.1,456.2,67,22
12,2012,North,NORTH LAHONTAN,5,1072,473.9,703.9,603.2,127,56
12,2012,South,SOUTH LAHONTAN,8,402.5,265.4,302,232,87,58
1,2013,North,NORTH COAST,6,3096.2,2114.3,2293.4,2354,111,76
1,2013,North,SAN FRANCISCO BAY,17,703.6,466.4,418.7,465.7,100,66
1,2013,Central,CENTRAL COAST,6,965.5,597.1,730,545.5,91,56
1,2013,South,SOUTH COAST,29,2116.4,1375.1,1406.9,1217.1,89,58
1,2013,North,SACRAMENTO,43,16091.7,10538,10875.3,11955.5,113,74
1,2013,Central,SAN JOAQUIN,34,11458.3,6933.2,8432.7,6957.3,100,61
1,2013,South,TULARE LAKE,6,2077.2,763.9,929.6,504.9,66,24
1,2013,North,NORTH LAHONTAN,5,1073.5,503.4,727.7,580.2,115,54
1,2013,South,SOUTH LAHONTAN,8,411.9,267.4,304.8,240.6,90,58
2,2013,North,NORTH COAST,6,3096.3,2224.6,2295.5,2390.9,107,77
2,2013,North,SAN FRANCISCO BAY,17,688,505.7,418.6,448.4,89,65
2,2013,Central,CENTRAL COAST,6,970.3,656.8,725.2,542.8,83,56
2,2013,South,SOUTH COAST,29,1973.8,1447.2,1410.8,1212.3,84,61
2,2013,North,SACRAMENTO,43,16001.7,11244,10917.8,12192.2,108,76
2,2013,Central,SAN JOAQUIN,34,11440.4,7211.1,8174.1,6979.2,97,61
2,2013,South,TULARE LAKE,6,2087.4,840.9,953.4,535,64,26
2,2013,North,NORTH LAHONTAN,5,1072,526.8,720.9,557.3,106,52
2,2013,South,SOUTH LAHONTAN,8,402.5,267.7,301.4,249,93,62
3,2013,North,NORTH COAST,6,3096.3,2359.9,2508.5,2474.9,105,80
3,2013,North,SAN FRANCISCO BAY,17,688,526.9,464.8,441.2,84,64
3,2013,Central,CENTRAL COAST,6,970.3,701.1,726.1,527.2,75,54
3,2013,South,SOUTH COAST,29,1973.8,1509,1398.2,1241.9,82,63
3,2013,North,SACRAMENTO,43,16001.7,12243.4,12943,12746.3,104,80
3,2013,Central,SAN JOAQUIN,34,11440.4,7536.9,8378.2,7150.3,95,63
3,2013,South,TULARE LAKE,6,2087.4,915.3,1038.3,609.1,67,29
3,2013,North,NORTH LAHONTAN,5,1072,547.4,755.7,576.9,105,54
3,2013,South,SOUTH LAHONTAN,8,402.5,266.9,299.1,248.7,93,62
4,2013,North,NORTH COAST,6,3096.3,2459.4,2793.2,2526.4,103,82
4,2013,North,SAN FRANCISCO BAY,17,688,529.9,486.6,446.3,84,65
